"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"02";"HVAC";"Via Don Orione 2";"4 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"4";"REALE"
"08";"HVAC";"Via Livigno 3";"3 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"3";"REALE"
"16";"HVAC";"via Don Bosco 14";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"03";"HVAC";"Via Farini 9";"2 n.ro caldaie x Caldaie da 350 kW a 1000kW";"Periodica";"Normativa vigente";"1.1";"B.01 - B.02 - B.12";"2";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"15";"HVAC";"via Clericetti 22";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2,967 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"2,967";"REALE"
"03";"HVAC";"Via Farini 9";"5,958 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"5,958";"REALE"
"08";"HVAC";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"446";"REALE"
"09";"HVAC";"Via Calvairate 1";"106 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"106";"REALE"
"10";"HVAC";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"82";"REALE"
"12";"HVAC";"POT Bollate";"1,831 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"1,831";"REALE"
"14";"HVAC";"viale Piceno 60";"1,095 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"1,095";"REALE"
"15";"HVAC";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"564";"REALE"
"16";"HVAC";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"311";"REALE"
"03";"HVAC";"Via Farini 9";"11 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"11";"REALE"
"09";"HVAC";"Via Calvairate 1";"4 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"4";"REALE"
"10";"HVAC";"Via Polesine 6";"2 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"2";"REALE"
"12";"HVAC";"POT Bollate";"26 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"26";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2,412 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"2,412";"REALE"
"03";"HVAC";"Via Farini 9";"2,410 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"2,410";"REALE"
"08";"HVAC";"Via Livigno 3";"446 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"446";"REALE"
"15";"HVAC";"via Clericetti 22";"564 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"564";"REALE"
"16";"HVAC";"via Don Bosco 14";"311 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"311";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2,967 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"2,967";"REALE"
"03";"Elettrico";"Via Farini 9";"5,958 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5,958";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"106 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"106";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"82";"REALE"
"12";"Elettrico";"POT Bollate";"1,831 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"1,831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"564";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"311";"REALE"
"17";"Elettrico";"via Fantoli 7";"1,154 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"1,154";"REALE"
"02";"Elettrico";"Via Don Orione 2";"23 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"23";"REALE"
"03";"Elettrico";"Via Farini 9";"32 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"32";"REALE"
"09";"Elettrico";"Via Calvairate 1";"2 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"2";"REALE"
"10";"Elettrico";"Via Polesine 6";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"12";"Elettrico";"POT Bollate";"5 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"5";"REALE"
"15";"Elettrico";"via Clericetti 22";"9 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"9";"REALE"
"16";"Elettrico";"via Don Bosco 14";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"17";"Elettrico";"via Fantoli 7";"11 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"11";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2,967 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"2,967";"REALE"
"03";"Elettrico";"Via Farini 9";"5,958 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5,958";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"106 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"106";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"82";"REALE"
"12";"Elettrico";"POT Bollate";"1,831 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1,831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"564";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"311";"REALE"
"17";"Elettrico";"via Fantoli 7";"1,154 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1,154";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"2,967 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"2,967";"REALE"
"03";"Idrico";"Via Farini 9";"5,958 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5,958";"REALE"
"08";"Idrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"446";"REALE"
"09";"Idrico";"Via Calvairate 1";"106 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"106";"REALE"
"10";"Idrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"82";"REALE"
"12";"Idrico";"POT Bollate";"1,831 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1,831";"REALE"
"14";"Idrico";"viale Piceno 60";"1,095 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1,095";"REALE"
"15";"Idrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"564";"REALE"
"16";"Idrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"311";"REALE"
"17";"Idrico";"via Fantoli 7";"1,154 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1,154";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"03";"Idrico";"Via Farini 9";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"08";"Idrico";"Via Livigno 3";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"09";"Idrico";"Via Calvairate 1";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"10";"Idrico";"Via Polesine 6";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"12";"Idrico";"POT Bollate";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"14";"Idrico";"viale Piceno 60";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"15";"Idrico";"via Clericetti 22";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"16";"Idrico";"via Don Bosco 14";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"17";"Idrico";"via Fantoli 7";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
